,Unnamed: 0,document,summary
0,0,who and where to get cetirizine i i need want to know who manufacture cetirizine my walmart is looking for a new supply and are not getting the recent,who manufactures cetirizine 
1,1,who makes bromocriptine i am wondering what company makes the drug bromocriptine i need it for a mass i have on my pituitary gland and the cost just keeps raising i cannot ever buy a full prescription because of the price and i was told if i get a hold of the maker of the drug sometimes they offer coupons or something to help me afford the medicine if i buy pills in which i have to take times a day it costs me and that is how i have to buy them thanks,who manufactures bromocriptine 
2,2,nulytely hello can you tell me where do i order the nulytely who is the manufacture what phone number can i call thanks,who makes nulytely and where can i buy it 
3,3,williams syndrome i would like to have my daughter tested for william i syndrome could you please tell me where i would go or who does it in my area thank you,where can i get genetic testing for william s syndrome 
4,4,clinicaltrials gov question general information both my parents died in to with multiple myeloma father in i and mother years old the attending oncologist advised that i should be tested every few years i was unaware of a genetic test for my i am yr old female in good health and where could i get the genetic test for my and approx cost for testing,where can i get genetic testing for multiple myeloma and what is the cost 
5,5,genetic test for ohhs heart condition is there a commercial genetic test for the ohhs heart condition my family suffers from this her ity condition and i would like to know who is susceptible if so where could i get it done in texas,where can i get genetic testing for ihss in texas 
6,6,friedrich i ataxia i have been told i have friedrich i ataxia i am looking for a treatment to reverse it i has to do with the chromosome number defective in both of my parents and possible dam to chromosome number would you be able to tell me if number is defective in me,where can i get genetic testing for friedreich s and what are the treatments for it 
7,7,optic deficiency my sister in texas was just diagnosed with optic deficiency today we do not yet know which variant i was told a year ago following her near death from rhabdo ok i at of respiratory compromise to be tested for a fa metabolic error until today i really had no ea which test to request her muscle be was performed a few months ago as she was still ill last year another recurrence of rhade this year prompted the be she is retired military i don i know which branch of medicine to for genetic testing from the nih website muscle be is the most definitive i also found a phone number for the genetics and rare diseases information center thank you for some direction,where can i get genetic testing for cptii deficiency 
8,8,trying to loss before july i am trying to loss pounds before july the problem is i work hours a day don i have time to do anything else is there a debt pills or shake that i can use to help me also my problem area is stomach waist butt and hip please help,where can i find information on weight loss pills 
9,9,clinicaltrials gov question specific study my son is years old he has omental panniculitis weber cristian disease can your institute help me to suggest what is this disbar and how it care if you need i can send the full detail,where can i find information on weber christian disease including treatment for it 
10,10,vagal nerve stimulation and depression have suffered for many years complicated by frequent migraines and little help from meds like to learn more about vagal nerve stimulation,where can i find information on vagus nerve stimulation for the treatment of depression and migraines 
11,11,stomach pain my son of y is facing upper abdominal pain severly in the morning time and slightly after eating lunch and in the night time after dinner kindly i went five doctors and ultra scan also but problem not resolved plus advice me what to do,where can i find information on upper abdominal pain including diagnosis and treatment 
12,12,pregnancy i just want to ask if have some ways or have a operation to be pregnant a woman like me had a tubal ligation before yrs ago,where can i find information on tubal ligation reversal 
13,13,thro cancer thro cancer please send all data regarding surgery issues after the surgery possible outcomes to the surgery,where can i find information on surgery for thyroid cancer including recovery and prognosis 
14,14,will storing my medication in the freezer reduce their efficacy i have many and more related questions about storing pills at various temperatures that i would like to ask about but let i start with that question the drugs that i am concerned about are digoxin and lisinopril as far as i know the dos is the lowest possible prescribed dos for each medication if that matters i hope my question will not be thought of as a specific or indie rally based question and you are able to answer in the most broad and objective way thank you very much in advance,will storing digoxin and lisinopril in the freezer reduce their efficacy 
15,15,hello im sorry about my mom she has black her mouth neck and arms her skin is changed in color black she has diabetes she insects insuline can you recomend me something please sent from my metrics i andro device,what treatments are available for diabetic skin darkening 
16,16,hello my is and i am a student at here in i am composing a research report on i i and i was hoping you could help me with some information i was particularly interested in learning weather parents should be worried about cribs death and if you could direct me to some resources on that or even allow me to interview you thank you for your time if you have anything else that might help me i would really appreciate it you can email me at or me by my phone at thanks again,where can i find information on sids 
17,17,help for my diagnose i have been diagnosed with sca i was wondering if medlineplus is able to help me with resources that i may need on my journey through this disease if not can you help me find an organization or association that can help me,where can i find information on sca and how can i find physician s or hospital s who specialize in it 
18,18,i i calling because i would like to know more advice on crating risperidone medicine and gain experiences on the medication and creating the medication,where can i find information on risperidone including how it is manufactured 
19,19,rectal prolapse my rectum is stretched out and i need information mailed to me about surgical options my address is,where can i find information on rectal prolapse surgery 
20,20,prenatal exams for leigh syndrome i am looking for information about having prenatal exams amnio or chorionic villus sampling for warp and leigh syndrome thank you in advance,where can i find information on prenatal genetic tests for narp and leigh syndrome 
21,21,clinicaltrials gov question general information hi i have mixed diagnosis of autoimmune connective tissue disease and would like to submit information about this disease i also need some serious rheumatologist recommended in argentina or latin america from already thank you very much,how can i find rheumatologist s who specialize in mixed connective tissue disease in latin america 
22,22,customer service request hi we are sisters and a brother my brother at of is detected with cataract however it is mild so operation is not required but doctor sa there are chances he has this from birth however only from past years he had a little blur vision and in my entire family mom and dad sa no one has had cataract from birth we are a big family my grape had brothers and sisters no one from their family or my mom has cataract from birth or even at early my concern is if i am pregnant will my children have any issue like this i amd my sister mom dad we all have got our eyes checked we dont have any issue i am really tensed as i am expecting can you please help me with the answer,who is at risk of developing infantile cataracts 
23,23,i have undergone total hip replacement of both my hip joints in charley process my left joint is completely worn out how safe and effective is revision surgery can i get a relentless joint i am years old an early rely to my query will be very much appreciated,where can i find information on hip revision surgery including risks and prognosis 
24,24,hair loss men on legs feet as one i i have observed hair loss on lower extremities on males is this poor blood circulation any advice,where can i find information on hair loss on the lower extremities in men including causes and treatment 
25,25,my son five years old has ganglia ose go we are looking for a drug that could help him or at least could prolong life he gets miglusitat for week can you help us or just send some information we would be very grateful,where can i find information on gm gangliosidosis including treatment and prognosis 
26,26,mental health anxiety interview i would like to interview someone by email in order to obtain information over generalized anxiety disorder for a newsletter project in my abnormal psychology class at thank you very much,where can i find information on generalized anxiety disorder 
27,27,need information about forward os need information about forward os i am in u i a but that wasn i listed as a choice of countries,where can i find information on folgard os in usa 
28,28,normal physical traits but no period i i a yr old woman that has infantile reproductive organs and have never experienced a census i have had doctors look but they all say i just have infantile female reproductive organs when i try to look for answers on the internet i cannot find anything all my girly parts are normal my organs never matured could you give me more information please,where can i find information on developmental disorders of the female reproductive system 
29,29,acute constipation sir i wish to know if severe constipation non clearence of bowels is also related to diabetes in old people request if you may prov e any medical paper associated to my query,does diabetes affect bowel movements 
30,30,is balsalaz e a stern is balsalaz e a stern i have been on it doe close to years now your information states weeks will this do any dam to my other organs was on ascot prior to balsalaz e my each i per day is this safe i cannot seem to lose any weight no matter how much i try i exercise days a week for minutes watch what i eat,where can i find information on balsalazide including dosage side effects and drug class 
31,31,autonomic and arthritis hi there i have a few questions about autonomic disorders combined with arthritis my girlfriend has arthritis and autonomic disorder i am really worried about her and want to help her is there any new medications out there for treatment of autonomic disorder also her autonomic disorder effects her heart lungs and blood pressure is this condition fatal how long does someone live with this condition,where can i find information on autonomic disorder including symptoms treatment and prognosis 
32,32,plate i have a steel plate in my ankle from a severely broken leg its been a long time now and am weight bearing they sa they would take plate out in a year which is not far away i am trying to find information about this how long will i be in hospital for or can it be a day surgery also will i need crutches etc i need to know the procedure as it terrifies me going back in there,where can i find information on ankle implant removal including recovery and prognosis 
33,33,re i duplication of genes dear all i am a health al and have recently assessed a year old boy on my caseload whose mother reported that he has been diagnosed with i duplication of genes i have never come across it and when i looked on the internet i could not find anything coherent i have been in with the paediatrician who used to be in charge of that child but she is unfortunately on long term sick would you be able to give me some information on this condition with key features please are there behavioural coordination sensory difficulties etc that can be associated with it,where can i find information on p  duplication including symptoms 
34,34,gabapentin how long is gabapentin good at room temperature thank you,for how long can gabapentin be stored at room temperature 
35,35,lifespan of un opened medication hi i have an un opened prescription of atorvastatin how long is the lifespan in an un opened container that has been stored at room temp roughly degrees thanks,for how long can atorvastatin be stored at room temperature 
36,36,the results of smoking what are some illnesses caused by smoking also what are their effect on the human body,what are the risks of smoking 
37,37,hi i rest of all thanks for valuable information we oh you published on your web i te i couldnt find any format on on web that i related early i when my son months old when he was baby he had measles and he hadnt had vaccine when he was ill i saw that if you had measles you have poss i i ty for spe that is to out of case but i want to know it i very mportant for me if you had measles when your son it all baby what is the risk please help me to know the facts please write me the worth case i want to know just truth thanks best regards,what percent of babies who contracted measles will eventually develop sspe 
38,38,interested in research regarding arm ex and the pros and cons of taking it following lumpectomy and radiation for breast cancer are there research results of recent research the possible i e effects are worrying i make decisions for my year old daughter with down syndrome trying to do what is best she has taken anastrozole for a year now,what is the the latest research on arimidex and the benefits and side effects of the drug 
39,39,clinicaltrials gov question specific study i have had epilepsy for years and my seizures have never been under control i started the modified atkins diet a couple of weeks ago but i am having serious issues and hope you might have an answer my seizures have tripled in these weeks than what have been in years does this diet take a lot of time for this not to happen or does this diet not work for everyone please help me,what is the success rate of the modified atkins diet for epilepsy 
